cumulative_supply,cumulative_tvl_usd,day,net_flow,net_flow_usd,supply_amount,supply_amount_usd,withdraw_amount,withdraw_amount_usd
1506759159.2501166,1508196856.227095,2024-06-13,-5381102.843665037,-5383411.336784942,9372993.404137976,9377014.41830837,14754096.247803014,14760425.755093312
1511787364.4882317,1513228742.1114442,2024-06-14,184454.07232999988,184589.09271094296,5028205.238115001,5031885.884349296,4843751.165785001,4847296.791638353
1514192985.2490487,1515636270.5295246,2024-06-15,-37324.56901500048,-37354.167398228776,2405620.7608169992,2407528.418080328,2442945.3298319997,2444882.585478557
1517144669.6861348,1518591992.8709204,2024-06-16,-723339.759418,-724329.2882088842,2951684.437086,2955722.3413959336,3675024.196504,3680051.629604818
1519775071.066907,1521223685.7787704,2024-06-17,1667887.8865440001,1668706.8194962933,2630401.380772,2631692.907849959,962513.494228,962986.0883536658
1541820722.0571709,1543288075.5723763,2024-06-18,9414400.198263008,9422402.438431516,22045650.990264006,22064389.79360572,12631250.792000998,12641987.355174202
1546949314.2113929,1548421780.932976,2024-06-19,-117926.88740699925,-118044.46051374543,5128592.154222,5133705.360599758,5246519.041629,5251749.821113504
1547397237.6052408,1548870214.0636463,2024-06-20,-447923.3938479999,-448433.13067019905,447923.39384800004,448433.13067019905,895846.787696,896866.2613403981
1566438703.0553157,1567929407.1180553,2024-06-21,-18713174.54269502,-18730596.508194245,19041465.450074982,19059193.054409035,37754639.99277,37789789.56260328
1566439059.7850907,1567929764.2637773,2024-06-22,-18076.773011999998,-18097.850529331994,356.729775,357.14572191764995,18433.502786999998,18454.996251249642
1568695736.8789697,1570191171.352845,2024-06-23,-11603109.453084,-11627429.570497666,2256677.0938790003,2261407.089067771,13859786.546963,13888836.659565436
1568720838.4110048,1570216295.7272742,2024-06-24,-840150.6288330002,-840915.165905238,25101.532034999993,25124.374429151863,865252.1608680002,866039.5403343899
1571132879.1033888,1572630632.6823974,2024-06-25,-288378.4086399982,-288652.9448850225,2412040.6923840013,2414336.955123152,2700419.1010239995,2702989.9000081746
1585213668.972504,1586718857.2085633,2024-06-26,7275013.806859,7278855.014149021,14080789.869114997,14088224.52616589,6805776.062255997,6809369.512016868
1589874453.2749078,1591383370.1384091,2024-06-27,-1885245.4492499977,-1886753.6456093974,4660784.302404001,4664512.929845924,6546029.751653999,6551266.575455321
1590196624.158393,1591706100.3105478,2024-06-28,-1401218.0616089995,-1403650.5761639534,322170.883485,322730.17213873006,1723388.9450939996,1726380.7483026835
1615456300.2476928,1616999119.1722858,2024-06-29,-39950199.91507703,-40002934.17896488,25259676.089299988,25293018.861737873,65209876.00437702,65295953.04070276
1623921291.0810978,1625467047.35751,2024-06-30,8253783.891633003,8256647.954643398,8464990.833405003,8467928.185224192,211206.94177200002,211280.230580795
1628711636.2447379,1630261023.6027842,2024-07-01,-14158374.508090992,-14169106.555968132,4790345.163640001,4793976.245274037,18948719.67173099,18963082.80124217
1632715484.136098,1634268338.8264182,2024-07-02,-6477426.671152003,-6483036.12264922,4003847.8913600002,4007315.223633918,10481274.562512003,10490351.346283138
1633757995.6022358,1635311976.2049396,2024-07-03,1004916.9761629999,1006002.2864972559,1042511.4661379999,1043637.3785214289,37594.489975,37635.092024173
1671317567.9509258,1672925709.4569564,2024-07-04,-70472518.668745,-70574140.04066531,37559572.34869,37613733.2520168,108032091.017435,108187873.29268211
1699960584.9523258,1701594161.4574537,2024-07-05,5499733.291026004,5504617.054188423,28643017.00140001,28668452.000497237,23143283.710374005,23163834.946308814
1699961192.7265267,1701594769.9457893,2024-07-06,607.7742010000001,608.488335686175,607.7742010000001,608.488335686175,0.0,0.0
1703939440.6490588,1705575615.6642148,2024-07-07,-7594613.683451999,-7599572.966187294,3978247.922532,3980845.7184254145,11572861.605983999,11580418.684612708
1703939466.7266147,1705575641.753193,2024-07-08,-21522.133078000003,-21531.55977228817,26.077556,26.088977969527996,21548.210634000003,21557.648750257697
1773934458.1963036,1775642938.0490701,2024-07-09,-852958.8566620797,-853839.9631609619,69994991.46968897,70067296.29587717,70847950.32635105,70921136.25903814
1778030843.1061316,1779742641.0306752,2024-07-10,-879520.5295970012,-880232.941225973,4096384.909828,4099702.9816049607,4975905.439425001,4979935.922830934
1780491202.8809085,1782206046.7308533,2024-07-11,-1441935.9090269995,-1443721.0256823758,2460359.7747770003,2463405.700178174,3902295.683804,3907126.7258605496
1788355595.0386906,1790075228.3034594,2024-07-12,7839209.980757,7843984.059635281,7864392.157782,7869181.572606089,25182.177025,25197.512970808228
1794825053.0752556,1796541121.6686463,2024-07-13,-2609406.405935997,-2607968.6230063336,6469458.036565002,6465893.365186849,9078864.442501,9073861.988193182
1794856434.8208177,1796572489.763149,2024-07-14,-3460.616822000018,-3459.111453682406,31381.745561999996,31368.094502680546,34842.362384000015,34827.20595636295
1805989306.1534357,1807709213.0692482,2024-07-15,6567771.146938997,6570043.595755839,11132871.332617998,11136723.306099083,4565100.185679001,4566679.7103432445
1816023787.2142918,1817743172.337089,2024-07-16,-561922.5120499954,-561893.2920793705,10034481.060856005,10033959.267840836,10596403.572906,10595852.559920207
1816050798.687728,1817770191.0766115,2024-07-17,-1749139.9877580001,-1749610.5064147073,27011.473436,27018.739522354284,1776151.4611940002,1776629.2459370615
1821497890.298328,1823219842.8202684,2024-07-18,-552292.8134539984,-552552.3910763236,5447091.610600002,5449651.743656983,5999384.4240540005,6002204.134733306
