borrow_amount_usd,day,ratio,supply_amount_usd,tvl_amount_usd
0,2024-05-24 00:00:00,0,0.0,0.0
0,2024-05-25 00:00:00,0,0.0,0.0
0,2024-05-26 00:00:00,0,0.0,0.0
0,2024-05-27 00:00:00,0,0.0,0.0
0,2024-05-28 00:00:00,0,0.0,0.0
0,2024-05-29 00:00:00,0,0.0,0.0
0,2024-05-30 00:00:00,0,0.0,0.0
0,2024-05-31 00:00:00,0,0.0,0.0
0,2024-06-01 00:00:00,0,0.0,0.0
0,2024-06-02 00:00:00,0,0.0,0.0
0,2024-06-03 00:00:00,0,0.0,0.0
0,2024-06-04 00:00:00,0,0.0,0.0
0,2024-06-05 00:00:00,0,0.0,0.0
0,2024-06-06 00:00:00,0,0.0,0.0
0,2024-06-07 00:00:00,0,0.0,0.0
0,2024-06-08 00:00:00,0,0.0,0.0
0,2024-06-09 00:00:00,0,0.0,0.0
0,2024-06-10 00:00:00,0,0.0,0.0
0,2024-06-11 00:00:00,0,0.0,0.0
0,2024-06-12 00:00:00,1,50.004749999999994,50.004749999999994
0,2024-06-13 00:00:00,1,52.004751999999996,52.004751999999996
0,2024-06-14 00:00:00,1,69.564393,69.564393
0,2024-06-15 00:00:00,1,69.564393,69.564393
0,2024-06-16 00:00:00,1,70.16439299999999,70.16439299999999
0,2024-06-17 00:00:00,1,71.16439399999999,71.16439399999999
0,2024-06-18 00:00:00,1,1796768.650517,1796768.650517
0,2024-06-19 00:00:00,1,5500452.965977,5500452.965977
0,2024-06-20 00:00:00,1,5591463.422335001,5591463.422335001
0,2024-06-21 00:00:00,1,5731890.9932079995,5731890.9932079995
0,2024-06-22 00:00:00,1,7098951.50509,7098951.50509
0,2024-06-23 00:00:00,1,7530860.524146,7530860.524146
0,2024-06-24 00:00:00,1,7606596.2982479995,7606596.2982479995
0,2024-06-25 00:00:00,1,7232222.680288999,7232222.680288999
0,2024-06-26 00:00:00,1,6902621.680229999,6902621.680229999
0,2024-06-27 00:00:00,1,7847099.853485999,7847099.853485999
0,2024-06-28 00:00:00,1,12082637.948074996,12082637.948074996
0,2024-06-29 00:00:00,1,11734955.820259996,11734955.820259996
0,2024-06-30 00:00:00,1,11490955.684696997,11490955.684696997
0,2024-07-01 00:00:00,1,11536456.482261997,11536456.482261997
0,2024-07-02 00:00:00,1,11585313.241438996,11585313.241438996
0,2024-07-03 00:00:00,1,10873408.186896997,10873408.186896997
0,2024-07-04 00:00:00,1,10573399.924737995,10573399.924737995
0,2024-07-05 00:00:00,1,10721684.677743996,10721684.677743996
0,2024-07-06 00:00:00,1,11782330.866572997,11782330.866572997
0,2024-07-07 00:00:00,1,11830370.300390996,11830370.300390996
0,2024-07-08 00:00:00,1,11673134.676951997,11673134.676951997
0,2024-07-09 00:00:00,1,12356339.995049996,12356339.995049996
0,2024-07-10 00:00:00,1,12399906.725550994,12399906.725550994
0,2024-07-11 00:00:00,1,15310923.976990994,15310923.976990994
0,2024-07-12 00:00:00,1,15745049.634649994,15745049.634649994
0,2024-07-13 00:00:00,1,15770986.268652994,15770986.268652994
0,2024-07-14 00:00:00,1,17077188.948431995,17077188.948431995
0,2024-07-15 00:00:00,1,17535372.002970994,17535372.002970994
0,2024-07-16 00:00:00,1,17429782.181668993,17429782.181668993
0,2024-07-17 00:00:00,1,17711495.836293995,17711495.836293995
0,2024-07-18 00:00:00,1,18472231.277590998,18472231.277590998
0,2024-07-19 00:00:00,1,17796280.960066997,17796280.960066997
0,2024-07-20 00:00:00,1,17839021.670326997,17839021.670326997
0,2024-07-21 00:00:00,1,18087489.823945995,18087489.823945995
0,2024-07-22 00:00:00,1,18365897.735587995,18365897.735587995
0,2024-07-23 00:00:00,1,18167289.058560994,18167289.058560994
0,2024-07-24 00:00:00,1,18778599.057329997,18778599.057329997
0,2024-07-25 00:00:00,1,16256629.290252995,16256629.290252995
0,2024-07-26 00:00:00,1,17619447.529426992,17619447.529426992
0,2024-07-27 00:00:00,1,18267622.48832999,18267622.48832999
0,2024-07-28 00:00:00,1,17559702.252925992,17559702.252925992
0,2024-07-29 00:00:00,1,17574787.306119993,17574787.306119993
0,2024-07-30 00:00:00,1,17526705.518681996,17526705.518681996
0,2024-07-31 00:00:00,1,17307770.331002995,17307770.331002995
0,2024-08-01 00:00:00,1,17585974.888584994,17585974.888584994
0,2024-08-02 00:00:00,1,18535838.178605985,18535838.178605985
0,2024-08-03 00:00:00,1,17592743.360673986,17592743.360673986
0,2024-08-04 00:00:00,1,17415146.387740985,17415146.387740985
0,2024-08-05 00:00:00,1,13673570.123796985,13673570.123796985
0,2024-08-06 00:00:00,1,16754623.738830984,16754623.738830984
0,2024-08-07 00:00:00,1,16853023.979592983,16853023.979592983
0,2024-08-08 00:00:00,1,16666294.807791982,16666294.807791982
0,2024-08-09 00:00:00,1,16147461.51115998,16147461.51115998
0,2024-08-10 00:00:00,1,17567758.28551798,17567758.28551798
0,2024-08-11 00:00:00,1,17584010.26289098,17584010.26289098
0,2024-08-12 00:00:00,1,18456105.34332298,18456105.34332298
0,2024-08-13 00:00:00,1,19030163.53541398,19030163.53541398
0,2024-08-14 00:00:00,1,19654761.24700798,19654761.24700798
0,2024-08-15 00:00:00,1,19790730.12046098,19790730.12046098
0,2024-08-16 00:00:00,1,19463379.45354698,19463379.45354698
0,2024-08-17 00:00:00,1,19752554.617097978,19752554.617097978
0,2024-08-18 00:00:00,1,20004010.17853398,20004010.17853398
0,2024-08-19 00:00:00,1,20218016.11420798,20218016.11420798
0,2024-08-20 00:00:00,1,20373494.48503598,20373494.48503598
0,2024-08-21 00:00:00,1,20367310.98090598,20367310.98090598
0,2024-08-22 00:00:00,1,20209995.00977198,20209995.00977198
0,2024-08-23 00:00:00,1,20630593.74620998,20630593.74620998
0,2024-08-24 00:00:00,1,21373471.39935198,21373471.39935198
0,2024-08-25 00:00:00,1,21879679.949720982,21879679.949720982
0,2024-08-26 00:00:00,1,22189818.613786984,22189818.613786984
