borrow_amount_usd,day,pure_tvl_amount_usd,ratio,supply_amount_usd,tvl_amount_usd
0.0009311392500000001,2024-01-05 00:00:00,-1.0855303201467992e-19,-1.165808787618822e-16,0.00093113925,0.00093113925
0.0020837629890000002,2024-01-06 00:00:00,0.0,0.0,0.0020837629890000002,0.0020837629890000002
0.00208413513,2024-01-07 00:00:00,0.0,0.0,0.00208413513,0.00208413513
0.32818698150000003,2024-01-08 00:00:00,-5.557498905517377e-17,-1.6933940767901477e-16,0.3281869815,0.3281869815
1.139586860544,2024-01-09 00:00:00,0.0,0.0,1.139586860544,1.139586860544
15.434290082623999,2024-01-10 00:00:00,0.0,0.0,15.434290082623999,15.434290082623999
120.89866156503203,2024-01-11 00:00:00,-1.4217931720850176e-14,-1.1760206057535447e-16,120.89866156503201,120.89866156503201
266.066954941158,2024-01-12 00:00:00,0.0,0.0,266.066954941158,266.066954941158
624.5529729616319,2024-01-13 00:00:00,0.0,0.0,624.5529729616319,624.5529729616319
1190.34433991385,2024-01-14 00:00:00,0.0,0.0,1190.34433991385,1190.34433991385
1776.332352243488,2024-01-15 00:00:00,0.0,0.0,1776.332352243488,1776.332352243488
2603.2215086422048,2024-01-16 00:00:00,0.0,0.0,2603.2215086422048,2603.2215086422048
3361.179670917125,2024-01-17 00:00:00,0.0,0.0,3361.179670917125,3361.179670917125
4230.541154078799,2024-01-18 00:00:00,0.0,0.0,4230.541154078799,4230.541154078799
5063.80701261269,2024-01-19 00:00:00,0.0,0.0,5063.80701261269,5063.80701261269
5865.16206984184,2024-01-20 00:00:00,-9.110799510381185e-13,-1.5533755763081357e-16,5865.162069841839,5865.162069841839
6303.759766703791,2024-01-21 00:00:00,-9.112254701904021e-13,-1.4455269615499293e-16,6303.75976670379,6303.75976670379
6742.135881121801,2024-01-22 00:00:00,-9.107679943554104e-13,-1.3508597429867744e-16,6742.1358811218,6742.1358811218
7236.556075630856,2024-01-23 00:00:00,0.0,0.0,7236.556075630856,7236.556075630856
7426.135850709895,2024-01-24 00:00:00,0.0,0.0,7426.135850709895,7426.135850709895
7624.605809946168,2024-01-25 00:00:00,0.0,0.0,7624.605809946168,7624.605809946168
7836.501783080102,2024-01-26 00:00:00,0.0,0.0,7836.501783080102,7836.501783080102
8237.588795090174,2024-01-27 00:00:00,0.0,0.0,8237.588795090174,8237.588795090174
8920.88914837128,2024-01-28 00:00:00,0.0,0.0,8920.88914837128,8920.88914837128
9398.768406178293,2024-01-29 00:00:00,0.0,0.0,9398.768406178293,9398.768406178293
9734.326124485766,2024-01-30 00:00:00,0.0,0.0,9734.326124485766,9734.326124485766
10860.726512070818,2024-01-31 00:00:00,0.0,0.0,10860.726512070818,10860.726512070818
12132.86845961078,2024-02-01 00:00:00,0.0,0.0,12132.86845961078,12132.86845961078
13745.11117371929,2024-02-02 00:00:00,0.0,0.0,13745.11117371929,13745.11117371929
14364.974826348607,2024-02-03 00:00:00,0.0,0.0,14364.974826348607,14364.974826348607
15223.412240607175,2024-02-04 00:00:00,-1.8222017388325183e-12,-1.196973260680643e-16,15223.412240607173,15223.412240607173
16775.23136745529,2024-02-05 00:00:00,-3.641311195679009e-12,-2.1706473764310152e-16,16775.231367455286,16775.231367455286
18998.934008981505,2024-02-06 00:00:00,-3.63960862159729e-12,-1.9156909644913296e-16,18998.9340089815,18998.9340089815
19858.227670258326,2024-02-07 00:00:00,-3.6376841308083385e-12,-1.8318271857948836e-16,19858.227670258322,19858.227670258322
21353.386045698702,2024-02-08 00:00:00,-3.63983417628333e-12,-1.7045700239267285e-16,21353.3860456987,21353.3860456987
22734.332716201312,2024-02-09 00:00:00,-3.638146154116839e-12,-1.6002871953766052e-16,22734.33271620131,22734.33271620131
24537.240762195055,2024-02-10 00:00:00,-3.638640919234603e-12,-1.4829054963835706e-16,24537.24076219505,24537.24076219505
25659.5544730993,2024-02-11 00:00:00,-3.6367346183396878e-12,-1.417302323838994e-16,25659.554473099295,25659.554473099295
26762.426638820994,2024-02-12 00:00:00,-3.6381534300744535e-12,-1.3594258395077775e-16,26762.42663882099,26762.42663882099
28011.797657738643,2024-02-13 00:00:00,-3.6372475733514875e-12,-1.2984698867930914e-16,28011.79765773864,28011.79765773864
29890.951259248173,2024-02-14 00:00:00,-3.6376513889990746e-12,-1.2169741128173687e-16,29890.95125924817,29890.95125924817
31633.963881410476,2024-02-15 00:00:00,-3.638338966993615e-12,-1.150136916332406e-16,31633.963881410473,31633.963881410473
33779.550756430675,2024-02-16 00:00:00,0.0,0.0,33779.550756430675,33779.550756430675
36040.68430241739,2024-02-17 00:00:00,0.0,0.0,36040.68430241739,36040.68430241739
37997.09825356896,2024-02-18 00:00:00,0.0,0.0,37997.09825356896,37997.09825356896
40048.04061403183,2024-02-19 00:00:00,0.0,0.0,40048.04061403183,40048.04061403183
42119.072050821596,2024-02-20 00:00:00,0.0,0.0,42119.072050821596,42119.072050821596
47777.24733590619,2024-02-21 00:00:00,0.0,0.0,47777.24733590619,47777.24733590619
51416.51071292996,2024-02-22 00:00:00,0.0,0.0,51416.51071292996,51416.51071292996
53697.738445475516,2024-02-23 00:00:00,0.0,0.0,53697.738445475516,53697.738445475516
55349.47927357546,2024-02-24 00:00:00,0.0,0.0,55349.47927357546,55349.47927357546
57831.78426172555,2024-02-25 00:00:00,0.0,0.0,57831.78426172555,57831.78426172555
62687.37695709527,2024-02-26 00:00:00,0.0,0.0,62687.37695709527,62687.37695709527
65529.102181409966,2024-02-27 00:00:00,0.0,0.0,65529.102181409966,65529.102181409966
68554.30549077893,2024-02-28 00:00:00,0.0,0.0,68554.30549077893,68554.30549077893
77553.53538243235,2024-02-29 00:00:00,0.0,0.0,77553.53538243235,77553.53538243235
84814.11937120697,2024-03-01 00:00:00,0.0,0.0,84814.11937120697,84814.11937120697
91857.14044173146,2024-03-02 00:00:00,0.0,0.0,91857.14044173146,91857.14044173146
102043.32509192049,2024-03-03 00:00:00,0.0,0.0,102043.32509192049,102043.32509192049
110912.25411041935,2024-03-04 00:00:00,0.0,0.0,110912.25411041935,110912.25411041935
118626.45209337451,2024-03-05 00:00:00,0.0,0.0,118626.45209337451,118626.45209337451
123209.58507169486,2024-03-06 00:00:00,0.0,0.0,123209.58507169486,123209.58507169486
128757.91098189677,2024-03-07 00:00:00,0.0,0.0,128757.91098189677,128757.91098189677
132460.7331026246,2024-03-08 00:00:00,0.0,0.0,132460.7331026246,132460.7331026246
136091.70632435012,2024-03-09 00:00:00,0.0,0.0,136091.70632435012,136091.70632435012
143142.77640412629,2024-03-10 00:00:00,0.0,0.0,143142.77640412629,143142.77640412629
153350.9932850795,2024-03-11 00:00:00,0.0,0.0,153350.9932850795,153350.9932850795
161297.79288655182,2024-03-12 00:00:00,0.0,0.0,161297.79288655182,161297.79288655182
172235.82374744728,2024-03-13 00:00:00,0.0,0.0,172235.82374744728,172235.82374744728
178805.14450991547,2024-03-14 00:00:00,0.0,0.0,178805.14450991547,178805.14450991547
188000.47461012437,2024-03-15 00:00:00,0.0,0.0,188000.47461012437,188000.47461012437
195088.7486331231,2024-03-16 00:00:00,0.0,0.0,195088.7486331231,195088.7486331231
208211.83602585288,2024-03-17 00:00:00,0.0,0.0,208211.83602585288,208211.83602585288
226686.20250061314,2024-03-18 00:00:00,0.0,0.0,226686.20250061314,226686.20250061314
241521.2432158581,2024-03-19 00:00:00,0.0,0.0,241521.2432158581,241521.2432158581
259580.09115889698,2024-03-20 00:00:00,0.0,0.0,259580.09115889698,259580.09115889698
276524.9445447882,2024-03-21 00:00:00,0.0,0.0,276524.9445447882,276524.9445447882
282972.39173377387,2024-03-22 00:00:00,0.0,0.0,282972.39173377387,282972.39173377387
294792.9623414038,2024-03-23 00:00:00,0.0,0.0,294792.9623414038,294792.9623414038
302395.87121169205,2024-03-24 00:00:00,0.0,0.0,302395.87121169205,302395.87121169205
314800.42295726185,2024-03-25 00:00:00,0.0,0.0,314800.42295726185,314800.42295726185
325897.7351581885,2024-03-26 00:00:00,0.0,0.0,325897.7351581885,325897.7351581885
340151.1601987438,2024-03-27 00:00:00,0.0,0.0,340151.1601987438,340151.1601987438
363386.3011155318,2024-03-28 00:00:00,0.0,0.0,363386.3011155318,363386.3011155318
373506.60799889214,2024-03-29 00:00:00,0.0,0.0,373506.60799889214,373506.60799889214
380095.1554854372,2024-03-30 00:00:00,0.0,0.0,380095.1554854372,380095.1554854372
391954.69179784536,2024-03-31 00:00:00,0.0,0.0,391954.69179784536,391954.69179784536
399628.38246452383,2024-04-01 00:00:00,0.0,0.0,399628.38246452383,399628.38246452383
407903.9896753995,2024-04-02 00:00:00,0.0,0.0,407903.9896753995,407903.9896753995
414338.81107930606,2024-04-03 00:00:00,-5.825900007039309e-11,-1.4060715171391968e-16,414338.811079306,414338.811079306
421428.04409927677,2024-04-04 00:00:00,-5.823245737701655e-11,-1.381788853218762e-16,421428.0440992767,421428.0440992767
430019.90876147663,2024-04-05 00:00:00,-5.826237611472606e-11,-1.3548762493934445e-16,430019.9087614766,430019.9087614766
437533.17161019903,2024-04-06 00:00:00,-5.8173551224172117e-11,-1.3295803609605925e-16,437533.171610199,437533.171610199
447862.4526426325,2024-04-07 00:00:00,-5.823565879836678e-11,-1.3003023239555957e-16,447862.4526426324,447862.4526426324
454490.3752185587,2024-04-08 00:00:00,-5.823723040521145e-11,-1.2813743388340382e-16,454490.37521855865,454490.37521855865
460067.3732329657,2024-04-09 00:00:00,-5.827337736263871e-11,-1.266627036669489e-16,460067.37323296565,460067.37323296565
466450.67200380884,2024-04-10 00:00:00,-5.822785897180439e-11,-1.248317613557408e-16,466450.6720038088,466450.6720038088
473182.3259054268,2024-04-11 00:00:00,-5.82694774493575e-11,-1.2314381636689367e-16,473182.32590542675,473182.32590542675
479420.6951946585,2024-04-12 00:00:00,-5.830771988257766e-11,-1.216211992244162e-16,479420.6951946584,479420.6951946584
