borrow_amount_usd,day,ratio,supply_amount_usd,tvl_amount_usd
0,2024-07-05 00:00:00,1,3146831.6687759967,3146831.6687759967
0,2024-07-06 00:00:00,1,3092466.3416919964,3092466.3416919964
0,2024-07-07 00:00:00,1,3092466.3416919964,3092466.3416919964
0,2024-07-08 00:00:00,1,3067258.8205049965,3067258.8205049965
0,2024-07-09 00:00:00,1,2635164.0535939964,2635164.0535939964
0,2024-07-10 00:00:00,1,2635164.0535939964,2635164.0535939964
0,2024-07-11 00:00:00,1,2678023.4961699964,2678023.4961699964
0,2024-07-12 00:00:00,1,2678023.4961699964,2678023.4961699964
0,2024-07-13 00:00:00,1,2678023.4961699964,2678023.4961699964
0,2024-07-14 00:00:00,1,2678023.4961699964,2678023.4961699964
0,2024-07-15 00:00:00,1,2677303.4961699964,2677303.4961699964
0,2024-07-16 00:00:00,1,2223203.9238959965,2223203.9238959965
0,2024-07-17 00:00:00,1,2258457.7037209966,2258457.7037209966
0,2024-07-18 00:00:00,1,2258457.7137209964,2258457.7137209964
0,2024-07-19 00:00:00,1,2258457.7137209964,2258457.7137209964
0,2024-07-20 00:00:00,1,2053101.7562839964,2053101.7562839964
0,2024-07-21 00:00:00,1,2054127.2182059963,2054127.2182059963
0,2024-07-22 00:00:00,1,2147833.9665019964,2147833.9665019964
0,2024-07-23 00:00:00,1,2147833.9665019964,2147833.9665019964
0,2024-07-24 00:00:00,1,1935056.1331849964,1935056.1331849964
0,2024-07-25 00:00:00,1,1839016.6259569963,1839016.6259569963
0,2024-07-26 00:00:00,1,1829011.8214869963,1829011.8214869963
0,2024-07-27 00:00:00,1,1861214.3662529963,1861214.3662529963
0,2024-07-28 00:00:00,1,1861186.4022289962,1861186.4022289962
0,2024-07-29 00:00:00,1,1840689.0417279962,1840689.0417279962
0,2024-07-30 00:00:00,1,1840689.0417279962,1840689.0417279962
0,2024-07-31 00:00:00,1,1840689.0417279962,1840689.0417279962
0,2024-08-01 00:00:00,1,1812298.0828139961,1812298.0828139961
0,2024-08-02 00:00:00,1,1811270.0060059961,1811270.0060059961
0,2024-08-03 00:00:00,1,1815560.206005996,1815560.206005996
0,2024-08-04 00:00:00,1,1815560.206005996,1815560.206005996
0,2024-08-05 00:00:00,1,1558210.401611996,1558210.401611996
0,2024-08-06 00:00:00,1,1693856.783080996,1693856.783080996
0,2024-08-07 00:00:00,1,1693856.783080996,1693856.783080996
0,2024-08-08 00:00:00,1,1694856.825549996,1694856.825549996
0,2024-08-09 00:00:00,1,1680856.825549996,1680856.825549996
0,2024-08-10 00:00:00,1,1741317.348476996,1741317.348476996
0,2024-08-11 00:00:00,1,1741317.348476996,1741317.348476996
0,2024-08-12 00:00:00,1,1740953.441841996,1740953.441841996
0,2024-08-13 00:00:00,1,2070953.442841996,2070953.442841996
0,2024-08-14 00:00:00,1,2070953.542841996,2070953.542841996
0,2024-08-15 00:00:00,1,2190953.542841996,2190953.542841996
0,2024-08-16 00:00:00,1,2047691.296638996,2047691.296638996
0,2024-08-17 00:00:00,1,2277691.2966389963,2277691.2966389963
0,2024-08-18 00:00:00,1,2235071.147069996,2235071.147069996
0,2024-08-19 00:00:00,1,2235071.147069996,2235071.147069996
0,2024-08-20 00:00:00,1,2235071.147069996,2235071.147069996
0,2024-08-21 00:00:00,1,2235071.147069996,2235071.147069996
0,2024-08-22 00:00:00,1,2140826.420305996,2140826.420305996
0,2024-08-23 00:00:00,1,1981342.481355996,1981342.481355996
0,2024-08-24 00:00:00,1,1981342.481355996,1981342.481355996
0,2024-08-25 00:00:00,1,1965831.7736869962,1965831.7736869962
0,2024-08-26 00:00:00,1,1523967.5555179962,1523967.5555179962
0,2024-08-27 00:00:00,1,1523967.5555179962,1523967.5555179962
0,2024-08-28 00:00:00,1,1523967.5555179962,1523967.5555179962
0,2024-08-29 00:00:00,1,1520433.8016979962,1520433.8016979962
0,2024-08-30 00:00:00,1,1520434.432736996,1520434.432736996
0,2024-08-31 00:00:00,1,1484380.185569996,1484380.185569996
0,2024-09-01 00:00:00,1,1484380.185569996,1484380.185569996
0,2024-09-02 00:00:00,1,1484380.185569996,1484380.185569996
0,2024-09-03 00:00:00,1,1484380.285569996,1484380.285569996
0,2024-09-04 00:00:00,1,1484380.285569996,1484380.285569996
0,2024-09-05 00:00:00,1,1500168.901509996,1500168.901509996
0,2024-09-06 00:00:00,1,1474093.2239289961,1474093.2239289961
0,2024-09-07 00:00:00,1,1474093.2239289961,1474093.2239289961
0,2024-09-08 00:00:00,1,1474093.2239289961,1474093.2239289961
0,2024-09-09 00:00:00,1,1474093.2239289961,1474093.2239289961
0,2024-09-10 00:00:00,1,1474093.2239289961,1474093.2239289961
0,2024-09-11 00:00:00,1,1455478.095837996,1455478.095837996
0,2024-09-12 00:00:00,1,1455478.095837996,1455478.095837996
0,2024-09-13 00:00:00,1,1455478.095837996,1455478.095837996
0,2024-09-14 00:00:00,1,1455478.095837996,1455478.095837996
0,2024-09-15 00:00:00,1,1455478.095837996,1455478.095837996
0,2024-09-16 00:00:00,1,1455478.095837996,1455478.095837996
0,2024-09-17 00:00:00,1,1455478.095837996,1455478.095837996
0,2024-09-18 00:00:00,1,1455478.0959379962,1455478.0959379962
0,2024-09-19 00:00:00,1,1455478.0960379962,1455478.0960379962
0,2024-09-20 00:00:00,1,1455478.0961379963,1455478.0961379963
0,2024-09-21 00:00:00,1,1455478.0961379963,1455478.0961379963
0,2024-09-22 00:00:00,1,1455478.0961379963,1455478.0961379963
0,2024-09-23 00:00:00,1,1455478.0961379963,1455478.0961379963
0,2024-09-24 00:00:00,1,1455478.0961379963,1455478.0961379963
0,2024-09-25 00:00:00,1,1455478.0961379963,1455478.0961379963
0,2024-09-26 00:00:00,1,1309617.2281559962,1309617.2281559962
0,2024-09-27 00:00:00,1,1309617.2281559962,1309617.2281559962
0,2024-09-28 00:00:00,1,1304858.939705996,1304858.939705996
0,2024-09-29 00:00:00,1,1304858.939705996,1304858.939705996
0,2024-09-30 00:00:00,1,1304858.939705996,1304858.939705996
0,2024-10-01 00:00:00,1,1304458.939705996,1304458.939705996
0,2024-10-02 00:00:00,1,1276900.896398996,1276900.896398996
0,2024-10-03 00:00:00,1,1276900.896398996,1276900.896398996
0,2024-10-04 00:00:00,1,1276900.896398996,1276900.896398996
0,2024-10-05 00:00:00,1,1276900.896398996,1276900.896398996
0,2024-10-06 00:00:00,1,1276900.896398996,1276900.896398996
0,2024-10-07 00:00:00,1,1276900.896398996,1276900.896398996
0,2024-10-08 00:00:00,1,1276900.896398996,1276900.896398996
0,2024-10-09 00:00:00,1,1261179.225189996,1261179.225189996
0,2024-10-10 00:00:00,1,1261179.225189996,1261179.225189996
0,2024-10-11 00:00:00,1,1261179.225189996,1261179.225189996
0,2024-10-12 00:00:00,1,1261179.225189996,1261179.225189996
0,2024-10-13 00:00:00,1,1261179.225189996,1261179.225189996
0,2024-10-14 00:00:00,1,1261179.225189996,1261179.225189996
0,2024-10-15 00:00:00,1,1261179.225189996,1261179.225189996
0,2024-10-16 00:00:00,1,1302591.677259996,1302591.677259996
0,2024-10-17 00:00:00,1,1227563.450741996,1227563.450741996
0,2024-10-18 00:00:00,1,1756166.853069996,1756166.853069996
0,2024-10-19 00:00:00,1,2146570.903069996,2146570.903069996
0,2024-10-20 00:00:00,1,2018432.939926996,2018432.939926996
0,2024-10-21 00:00:00,1,2172052.886000996,2172052.886000996
0,2024-10-22 00:00:00,1,1978374.091244996,1978374.091244996
0,2024-10-23 00:00:00,1,1964930.095573996,1964930.095573996
0,2024-10-24 00:00:00,1,1333101.567865996,1333101.567865996
0,2024-10-25 00:00:00,1,1162448.048208996,1162448.048208996
0,2024-10-26 00:00:00,1,1166976.214083996,1166976.214083996
0,2024-10-27 00:00:00,1,1316976.214083996,1316976.214083996
0,2024-10-28 00:00:00,1,1249518.416210996,1249518.416210996
0,2024-10-29 00:00:00,1,1233254.001370996,1233254.001370996
0,2024-10-30 00:00:00,1,1198909.848833996,1198909.848833996
0,2024-10-31 00:00:00,1,1138809.532511996,1138809.532511996
0,2024-11-01 00:00:00,1,1106131.8900929962,1106131.8900929962
0,2024-11-02 00:00:00,1,1142583.7256809962,1142583.7256809962
0,2024-11-03 00:00:00,1,979056.8118429962,979056.8118429962
0,2024-11-04 00:00:00,1,966756.0271879962,966756.0271879962
0,2024-11-05 00:00:00,1,1979305.8466799962,1979305.8466799962
0,2024-11-06 00:00:00,1,1794602.1848379963,1794602.1848379963
0,2024-11-07 00:00:00,1,1658535.1719289962,1658535.1719289962
0,2024-11-08 00:00:00,1,1658535.1719289962,1658535.1719289962
0,2024-11-09 00:00:00,1,1658535.1719289962,1658535.1719289962
0,2024-11-10 00:00:00,1,1658535.1719289962,1658535.1719289962
0,2024-11-11 00:00:00,1,1658535.1719289962,1658535.1719289962
0,2024-11-12 00:00:00,1,1453779.453681996,1453779.453681996
0,2024-11-13 00:00:00,1,1194954.940105996,1194954.940105996
0,2024-11-14 00:00:00,1,1194954.940105996,1194954.940105996
0,2024-11-15 00:00:00,1,755893.7496699961,755893.7496699961
0,2024-11-16 00:00:00,1,755893.7496699961,755893.7496699961
0,2024-11-17 00:00:00,1,840887.7704959961,840887.7704959961
0,2024-11-18 00:00:00,1,1023577.5511099962,1023577.5511099962
0,2024-11-19 00:00:00,1,1034333.9352069962,1034333.9352069962
0,2024-11-20 00:00:00,1,1124647.2572409962,1124647.2572409962
0,2024-11-21 00:00:00,1,1050240.0938389963,1050240.0938389963
0,2024-11-22 00:00:00,1,959934.0943619963,959934.0943619963
0,2024-11-23 00:00:00,1,959934.0943619963,959934.0943619963
0,2024-11-24 00:00:00,1,960934.0943619963,960934.0943619963
0,2024-11-25 00:00:00,1,958663.6047789963,958663.6047789963
0,2024-11-26 00:00:00,1,1046163.6047789963,1046163.6047789963
0,2024-11-27 00:00:00,1,1082518.0390609964,1082518.0390609964
0,2024-11-28 00:00:00,1,1088502.1568549965,1088502.1568549965
0,2024-11-29 00:00:00,1,1198979.2907599965,1198979.2907599965
0,2024-11-30 00:00:00,1,1234433.3720879965,1234433.3720879965
0,2024-12-01 00:00:00,1,1316943.0241619966,1316943.0241619966
0,2024-12-02 00:00:00,1,1257594.0798959965,1257594.0798959965
0,2024-12-03 00:00:00,1,1168236.7367419964,1168236.7367419964
0,2024-12-04 00:00:00,1,1169985.4002959963,1169985.4002959963
0,2024-12-05 00:00:00,1,1365441.3326619964,1365441.3326619964
0,2024-12-06 00:00:00,1,1233697.0747179964,1233697.0747179964
0,2024-12-07 00:00:00,1,1252933.7498909964,1252933.7498909964
0,2024-12-08 00:00:00,1,1178110.7862119963,1178110.7862119963
0,2024-12-09 00:00:00,1,1396001.3329969964,1396001.3329969964
0,2024-12-10 00:00:00,1,1420309.0114359963,1420309.0114359963
0,2024-12-11 00:00:00,1,1220887.3042669962,1220887.3042669962
0,2024-12-12 00:00:00,1,1600887.3042669962,1600887.3042669962
0,2024-12-13 00:00:00,1,1603869.5595379963,1603869.5595379963
0,2024-12-14 00:00:00,1,2407354.066639996,2407354.066639996
0,2024-12-15 00:00:00,1,2007013.484535996,2007013.484535996
0,2024-12-16 00:00:00,1,1998013.484535996,1998013.484535996
0,2024-12-17 00:00:00,1,1794810.911303996,1794810.911303996
0,2024-12-18 00:00:00,1,1530285.3018719961,1530285.3018719961
0,2024-12-19 00:00:00,1,1525241.299350996,1525241.299350996
0,2024-12-20 00:00:00,1,1340083.731379996,1340083.731379996
0,2024-12-21 00:00:00,1,1338084.577713996,1338084.577713996
0,2024-12-22 00:00:00,1,1336904.5528459959,1336904.5528459959
0,2024-12-23 00:00:00,1,1225654.6309649958,1225654.6309649958
0,2024-12-24 00:00:00,1,1225545.732001996,1225545.732001996
0,2024-12-25 00:00:00,1,1225444.697277996,1225444.697277996
0,2024-12-26 00:00:00,1,1387119.644808996,1387119.644808996
0,2024-12-27 00:00:00,1,1387119.644808996,1387119.644808996
0,2024-12-28 00:00:00,1,1385399.593135996,1385399.593135996
0,2024-12-29 00:00:00,1,1359384.991191996,1359384.991191996
0,2024-12-30 00:00:00,1,1516635.5786319962,1516635.5786319962
0,2024-12-31 00:00:00,1,1709388.316102996,1709388.316102996
0,2025-01-01 00:00:00,1,1808793.700773996,1808793.700773996
0,2025-01-02 00:00:00,1,1808793.700773996,1808793.700773996
0,2025-01-03 00:00:00,1,1874361.6032399961,1874361.6032399961
0,2025-01-04 00:00:00,1,1885083.895484996,1885083.895484996
0,2025-01-05 00:00:00,1,1783656.014327996,1783656.014327996
0,2025-01-06 00:00:00,1,1557768.947795996,1557768.947795996
0,2025-01-07 00:00:00,1,1304236.117901996,1304236.117901996
0,2025-01-08 00:00:00,1,1274681.0122119961,1274681.0122119961
0,2025-01-09 00:00:00,1,1234602.8130049962,1234602.8130049962
0,2025-01-10 00:00:00,1,1214305.1711679962,1214305.1711679962
0,2025-01-11 00:00:00,1,1063126.9333019962,1063126.9333019962
0,2025-01-12 00:00:00,1,1037089.1464949962,1037089.1464949962
0,2025-01-13 00:00:00,1,1037089.1464949962,1037089.1464949962
0,2025-01-14 00:00:00,1,1037089.1464949962,1037089.1464949962
