borrow_amount_usd,day,pure_tvl_amount_usd,ratio,supply_amount_usd,tvl_amount_usd
0.0,2024-01-05 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-06 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-07 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-08 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-09 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-10 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-11 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-12 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-13 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-14 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-15 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-16 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-17 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-18 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-19 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-20 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-21 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-22 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-23 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-24 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-25 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-26 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-27 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-28 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-29 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-30 00:00:00,0.0,0,0.0,0.0
0.0,2024-01-31 00:00:00,0.0,0,0.0,0.0
0.0,2024-02-01 00:00:00,0.0,0,0.0,0.0
0.0,2024-02-02 00:00:00,0.0,0,0.0,0.0
0.0,2024-02-03 00:00:00,0.0,0,0.0,0.0
0.0,2024-02-04 00:00:00,0.0,NaN,0.0,0.0
0.0,2024-02-05 00:00:00,0.0,NaN,0.0,0.0
0.00012603906,2024-02-06 00:00:00,0.0,0,0.00012603906,0.00012603906
0.00013695081699999998,2024-02-07 00:00:00,0.0,0,0.00013695081699999998,0.00013695081699999998
0.000164105944,2024-02-08 00:00:00,0.0,0,0.000164105944,0.000164105944
1.502039692612,2024-02-09 00:00:00,-2.2219870388084927e-16,-1.4793131298311612e-16,1.5020396926119999,1.5020396926119999
11.452883694407996,2024-02-10 00:00:00,3.554603722477623e-15,3.1036757355819463e-16,11.452883694408,11.452883694408
31.550627943473998,2024-02-11 00:00:00,7.10507919166048e-15,2.251961261877233e-16,31.550627943474005,31.550627943474005
58.886012782888,2024-02-12 00:00:00,0.0,0,58.886012782888,58.886012782888
91.158085627609,2024-02-13 00:00:00,1.4213426879905455e-14,1.5592063810959016e-16,91.15808562760901,91.15808562760901
292.65634415342,2024-02-14 00:00:00,0.0,0,292.65634415342,292.65634415342
516.048988340016,2024-02-15 00:00:00,0.0,0,516.048988340016,516.048988340016
899.46745282438,2024-02-16 00:00:00,-1.137998424383113e-13,-1.2651913316148708e-16,899.4674528243798,899.4674528243798
1074.988985876442,2024-02-17 00:00:00,0.0,0,1074.988985876442,1074.988985876442
1263.8921790497461,2024-02-18 00:00:00,0.0,0,1263.8921790497461,1263.8921790497461
1443.118378816128,2024-02-19 00:00:00,0.0,0,1443.118378816128,1443.118378816128
1668.326996869632,2024-02-20 00:00:00,0.0,0,1668.326996869632,1668.326996869632
1915.84824385024,2024-02-21 00:00:00,0.0,0,1915.84824385024,1915.84824385024
2022.147632029953,2024-02-22 00:00:00,0.0,0,2022.147632029953,2022.147632029953
2233.962837863328,2024-02-23 00:00:00,0.0,0,2233.962837863328,2233.962837863328
2363.860489392864,2024-02-24 00:00:00,0.0,0,2363.860489392864,2363.860489392864
2695.4926609698728,2024-02-25 00:00:00,0.0,0,2695.4926609698728,2695.4926609698728
2911.8581603544044,2024-02-26 00:00:00,0.0,0,2911.8581603544044,2911.8581603544044
3209.4370537095124,2024-02-27 00:00:00,0.0,0,3209.4370537095124,3209.4370537095124
3501.1227912543827,2024-02-28 00:00:00,0.0,0,3501.1227912543827,3501.1227912543827
3926.24247020678,2024-02-29 00:00:00,0.0,0,3926.24247020678,3926.24247020678
4274.391106821131,2024-03-01 00:00:00,0.0,0,4274.391106821131,4274.391106821131
5849.968636268881,2024-03-02 00:00:00,0.0,0,5849.968636268881,5849.968636268881
6602.7644024664105,2024-03-03 00:00:00,0.0,0,6602.7644024664105,6602.7644024664105
8080.906374133528,2024-03-04 00:00:00,0.0,0,8080.906374133528,8080.906374133528
9643.811738209508,2024-03-05 00:00:00,0.0,0,9643.811738209508,9643.811738209508
12366.377490369343,2024-03-06 00:00:00,0.0,0,12366.377490369343,12366.377490369343
13869.052502586977,2024-03-07 00:00:00,0.0,0,13869.052502586977,13869.052502586977
15436.384532374192,2024-03-08 00:00:00,0.0,0,15436.384532374192,15436.384532374192
20001.501709843724,2024-03-09 00:00:00,0.0,0,20001.501709843724,20001.501709843724
21454.017634253996,2024-03-10 00:00:00,0.0,0,21454.017634253996,21454.017634253996
24346.97821996578,2024-03-11 00:00:00,0.0,0,24346.97821996578,24346.97821996578
29364.207812594574,2024-03-12 00:00:00,0.0,0,29364.207812594574,29364.207812594574
32349.555130743902,2024-03-13 00:00:00,0.0,0,32349.555130743902,32349.555130743902
35627.36174234771,2024-03-14 00:00:00,0.0,0,35627.36174234771,35627.36174234771
40217.64834539376,2024-03-15 00:00:00,0.0,0,40217.64834539376,40217.64834539376
41733.48753907155,2024-03-16 00:00:00,0.0,0,41733.48753907155,41733.48753907155
45269.75123872337,2024-03-17 00:00:00,0.0,0,45269.75123872337,45269.75123872337
47466.39759340358,2024-03-18 00:00:00,-7.283568265847863e-12,-1.5344683049762479e-16,47466.39759340357,47466.39759340357
50352.82029277236,2024-03-19 00:00:00,-7.285685569513589e-12,-1.4469270096792128e-16,50352.820292772354,50352.820292772354
52450.24967416932,2024-03-20 00:00:00,-7.286456821020693e-12,-1.389212990650286e-16,52450.24967416931,52450.24967416931
55602.96861498998,2024-03-21 00:00:00,-7.282280421350151e-12,-1.3096927381296194e-16,55602.96861498997,55602.96861498997
57471.92253624573,2024-03-22 00:00:00,-7.283066224772483e-12,-1.2672390105236663e-16,57471.92253624572,57471.92253624572
59891.412498328216,2024-03-23 00:00:00,-7.289942004717886e-12,-1.217193200264124e-16,59891.41249832821,59891.41249832821
61271.66350772384,2024-03-24 00:00:00,-7.283430022653191e-12,-1.1887109971700132e-16,61271.66350772383,61271.66350772383
63368.308966163866,2024-03-25 00:00:00,-7.28123268345371e-12,-1.1490337681792324e-16,63368.30896616386,63368.30896616386
65436.95334878538,2024-03-26 00:00:00,-7.279741112142802e-12,-1.112481669698323e-16,65436.95334878537,65436.95334878537
66405.08432360024,2024-03-27 00:00:00,-1.4553050277754665e-11,-2.1915566294345538e-16,66405.08432360023,66405.08432360023
69576.96753412408,2024-03-28 00:00:00,-1.4561490388587118e-11,-2.092860741803015e-16,69576.96753412407,69576.96753412407
73089.801308278,2024-03-29 00:00:00,-1.45717931445688e-11,-1.9936835076494363e-16,73089.80130827798,73089.80130827798
75512.01139628854,2024-03-30 00:00:00,-1.4576828107237815e-11,-1.9303985998649054e-16,75512.01139628852,75512.01139628852
78996.40795684796,2024-03-31 00:00:00,-1.455952588003129e-11,-1.8430617614897727e-16,78996.40795684795,78996.40795684795
81864.60281452141,2024-04-01 00:00:00,-1.4571021893061696e-11,-1.779892822063145e-16,81864.6028145214,81864.6028145214
85689.10251855898,2024-04-02 00:00:00,0.0,0,85689.10251855898,85689.10251855898
89949.93212495626,2024-04-03 00:00:00,0.0,0,89949.93212495626,89949.93212495626
93472.83393588259,2024-04-04 00:00:00,0.0,0,93472.83393588259,93472.83393588259
96645.08427522724,2024-04-05 00:00:00,0.0,0,96645.08427522724,96645.08427522724
100622.49065230164,2024-04-06 00:00:00,0.0,0,100622.49065230164,100622.49065230164
106588.16740242095,2024-04-07 00:00:00,0.0,0,106588.16740242095,106588.16740242095
112350.48438282694,2024-04-08 00:00:00,0.0,0,112350.48438282694,112350.48438282694
117272.23512852506,2024-04-09 00:00:00,0.0,0,117272.23512852506,117272.23512852506
121932.1615407817,2024-04-10 00:00:00,0.0,0,121932.1615407817,121932.1615407817
127366.67928040863,2024-04-11 00:00:00,0.0,0,127366.67928040863,127366.67928040863
132317.69211234554,2024-04-12 00:00:00,0.0,0,132317.69211234554,132317.69211234554
137504.80328525716,2024-04-13 00:00:00,0.0,0,137504.80328525716,137504.80328525716
143281.4944979957,2024-04-14 00:00:00,0.0,0,143281.4944979957,143281.4944979957
148443.21017110642,2024-04-15 00:00:00,0.0,0,148443.21017110642,148443.21017110642
153464.15874830328,2024-04-16 00:00:00,0.0,0,153464.15874830328,153464.15874830328
157104.2885671631,2024-04-17 00:00:00,0.0,0,157104.2885671631,157104.2885671631
163225.80810190956,2024-04-18 00:00:00,0.0,0,163225.80810190956,163225.80810190956
167711.25090535905,2024-04-19 00:00:00,0.0,0,167711.25090535905,167711.25090535905
170234.6236072847,2024-04-20 00:00:00,0.0,0,170234.6236072847,170234.6236072847
173614.79553875947,2024-04-21 00:00:00,0.0,0,173614.79553875947,173614.79553875947
177953.22182693778,2024-04-22 00:00:00,0.0,0,177953.22182693778,177953.22182693778
181404.7008033429,2024-04-23 00:00:00,0.0,0,181404.7008033429,181404.7008033429
187017.48584602005,2024-04-24 00:00:00,0.0,0,187017.48584602005,187017.48584602005
190280.13031837624,2024-04-25 00:00:00,0.0,0,190280.13031837624,190280.13031837624
194755.8631650181,2024-04-26 00:00:00,0.0,0,194755.8631650181,194755.8631650181
200959.66066958514,2024-04-27 00:00:00,0.0,0,200959.66066958514,200959.66066958514
205574.6315295566,2024-04-28 00:00:00,0.0,0,205574.6315295566,205574.6315295566
208402.25128003382,2024-04-29 00:00:00,0.0,0,208402.25128003382,208402.25128003382
212642.6684176114,2024-04-30 00:00:00,0.0,0,212642.6684176114,212642.6684176114
214778.1459847029,2024-05-01 00:00:00,0.0,0,214778.1459847029,214778.1459847029
218821.5648675648,2024-05-02 00:00:00,0.0,0,218821.5648675648,218821.5648675648
222004.92487693706,2024-05-03 00:00:00,0.0,0,222004.92487693706,222004.92487693706
225945.6328182253,2024-05-04 00:00:00,0.0,0,225945.6328182253,225945.6328182253
231096.41901923966,2024-05-05 00:00:00,0.0,0,231096.41901923966,231096.41901923966
237097.75422681938,2024-05-06 00:00:00,0.0,0,237097.75422681938,237097.75422681938
240503.11023611523,2024-05-07 00:00:00,0.0,0,240503.11023611523,240503.11023611523
244362.42942978087,2024-05-08 00:00:00,0.0,0,244362.42942978087,244362.42942978087
247225.27729102861,2024-05-09 00:00:00,0.0,0,247225.27729102861,247225.27729102861
249685.75273571425,2024-05-10 00:00:00,0.0,0,249685.75273571425,249685.75273571425
252887.05846947548,2024-05-11 00:00:00,0.0,0,252887.05846947548,252887.05846947548
255295.09280974048,2024-05-12 00:00:00,0.0,0,255295.09280974048,255295.09280974048
257520.48802604276,2024-05-13 00:00:00,0.0,0,257520.48802604276,257520.48802604276
262036.43072088482,2024-05-14 00:00:00,0.0,0,262036.43072088482,262036.43072088482
266216.13564150874,2024-05-15 00:00:00,0.0,0,266216.13564150874,266216.13564150874
269312.09515229746,2024-05-16 00:00:00,0.0,0,269312.09515229746,269312.09515229746
272400.2813613879,2024-05-17 00:00:00,0.0,0,272400.2813613879,272400.2813613879
275688.79365359416,2024-05-18 00:00:00,0.0,0,275688.79365359416,275688.79365359416
279091.32558976416,2024-05-19 00:00:00,0.0,0,279091.32558976416,279091.32558976416
283992.7504318442,2024-05-20 00:00:00,0.0,0,283992.7504318442,283992.7504318442
287513.0080416683,2024-05-21 00:00:00,0.0,0,287513.0080416683,287513.0080416683
291954.7832220772,2024-05-22 00:00:00,0.0,0,291954.7832220772,291954.7832220772
296592.12659651344,2024-05-23 00:00:00,0.0,0,296592.12659651344,296592.12659651344
299995.2835205092,2024-05-24 00:00:00,0.0,0,299995.2835205092,299995.2835205092
303434.98537144804,2024-05-25 00:00:00,0.0,0,303434.98537144804,303434.98537144804
305498.3653181041,2024-05-26 00:00:00,0.0,0,305498.3653181041,305498.3653181041
310973.47160111857,2024-05-27 00:00:00,0.0,0,310973.47160111857,310973.47160111857
315465.5172076231,2024-05-28 00:00:00,0.0,0,315465.5172076231,315465.5172076231
319471.4500449772,2024-05-29 00:00:00,0.0,0,319471.4500449772,319471.4500449772
326976.4113575577,2024-05-30 00:00:00,0.0,0,326976.4113575577,326976.4113575577
331115.205465334,2024-05-31 00:00:00,0.0,0,331115.205465334,331115.205465334
337329.61451374966,2024-06-01 00:00:00,0.0,0,337329.61451374966,337329.61451374966
340462.22204582155,2024-06-02 00:00:00,0.0,0,340462.22204582155,340462.22204582155
346944.1400314109,2024-06-03 00:00:00,0.0,0,346944.1400314109,346944.1400314109
354995.361546456,2024-06-04 00:00:00,0.0,0,354995.361546456,354995.361546456
359641.4220884963,2024-06-05 00:00:00,0.0,0,359641.4220884963,359641.4220884963
367975.8235168304,2024-06-06 00:00:00,0.0,0,367975.8235168304,367975.8235168304
374854.8647616066,2024-06-07 00:00:00,0.0,0,374854.8647616066,374854.8647616066
380444.9618688898,2024-06-08 00:00:00,0.0,0,380444.9618688898,380444.9618688898
386157.47793883923,2024-06-09 00:00:00,0.0,0,386157.47793883923,386157.47793883923
391696.709019436,2024-06-10 00:00:00,0.0,0,391696.709019436,391696.709019436
396617.8765243699,2024-06-11 00:00:00,0.0,0,396617.8765243699,396617.8765243699
402426.74572748266,2024-06-12 00:00:00,0.0,0,402426.74572748266,402426.74572748266
409219.3958922031,2024-06-13 00:00:00,0.0,0,409219.3958922031,409219.3958922031
418733.0318632484,2024-06-14 00:00:00,0.0,0,418733.0318632484,418733.0318632484
426589.56448920356,2024-06-15 00:00:00,0.0,0,426589.56448920356,426589.56448920356
