borrow_amount_usd,day,pure_tvl_amount_usd,ratio,supply_amount_usd,tvl_amount_usd
542494.0450202824,2024-04-23 00:00:00,0.0,0.0,542494.0450202824,542494.0450202824
551596.0811248441,2024-04-24 00:00:00,0.0,0.0,551596.0811248441,551596.0811248441
558287.1471622982,2024-04-25 00:00:00,0.0,0.0,558287.1471622982,558287.1471622982
564596.732212595,2024-04-26 00:00:00,0.0,0.0,564596.732212595,564596.732212595
572074.104481877,2024-04-27 00:00:00,0.0,0.0,572074.104481877,572074.104481877
577672.8483418617,2024-04-28 00:00:00,0.0,0.0,577672.8483418617,577672.8483418617
584765.1123156182,2024-04-29 00:00:00,0.0,0.0,584765.1123156182,584765.1123156182
592931.1538176634,2024-04-30 00:00:00,0.0,0.0,592931.1538176634,592931.1538176634
599058.1891263057,2024-05-01 00:00:00,0.0,0.0,599058.1891263057,599058.1891263057
606072.5464569095,2024-05-02 00:00:00,0.0,0.0,606072.5464569095,606072.5464569095
626181.7900795537,2024-05-03 00:00:00,0.0,0.0,626181.7900795537,626181.7900795537
637489.4729904452,2024-05-04 00:00:00,0.0,0.0,637489.4729904452,637489.4729904452
649093.4562832612,2024-05-05 00:00:00,0.0,0.0,649093.4562832612,649093.4562832612
666208.6125081283,2024-05-06 00:00:00,0.0,0.0,666208.6125081283,666208.6125081283
675533.1263513882,2024-05-07 00:00:00,0.0,0.0,675533.1263513882,675533.1263513882
684997.4781370941,2024-05-08 00:00:00,0.0,0.0,684997.4781370941,684997.4781370941
695541.2978819368,2024-05-09 00:00:00,0.0,0.0,695541.2978819368,695541.2978819368
706540.1482344648,2024-05-10 00:00:00,-1.1646386701613663e-10,-1.6483687063949863e-16,706540.1482344647,706540.1482344647
713371.9917773751,2024-05-11 00:00:00,-1.1656642891466618e-10,-1.634020262335216e-16,713371.991777375,713371.991777375
730253.032640186,2024-05-12 00:00:00,-1.1657248251140117e-10,-1.5963300020807907e-16,730253.0326401859,730253.0326401859
741237.7132569256,2024-05-13 00:00:00,-1.1643616016954183e-10,-1.5708342693187158e-16,741237.7132569255,741237.7132569255
765322.3005351181,2024-05-14 00:00:00,-1.1651520617306233e-10,-1.5224331773893717e-16,765322.300535118,765322.300535118
773932.8007739875,2024-05-15 00:00:00,-1.1641229502856732e-10,-1.5041654121927228e-16,773932.8007739874,773932.8007739874
784213.6676340032,2024-05-16 00:00:00,-1.1647585779428483e-10,-1.4852566666645341e-16,784213.6676340031,784213.6676340031
793615.0457339198,2024-05-17 00:00:00,-1.164615387097001e-10,-1.4674814865940293e-16,793615.0457339197,793615.0457339197
802631.7167478256,2024-05-18 00:00:00,-1.1643196921795607e-10,-1.4506275641551454e-16,802631.7167478255,802631.7167478255
812013.7999851601,2024-05-19 00:00:00,-1.1646770872175694e-10,-1.4343070120715368e-16,812013.79998516,812013.79998516
822094.4542869253,2024-05-20 00:00:00,-1.1638831347227096e-10,-1.4157535410359238e-16,822094.4542869251,822094.4542869251
832701.4370596334,2024-05-21 00:00:00,-1.1651625391095876e-10,-1.3992560685663203e-16,832701.4370596333,832701.4370596333
847037.4633188946,2024-05-22 00:00:00,-1.1649599764496089e-10,-1.3753346538947856e-16,847037.4633188945,847037.4633188945
863375.2738435447,2024-05-23 00:00:00,-1.1658004950731992e-10,-1.350282467418054e-16,863375.2738435445,863375.2738435445
876248.4055241963,2024-05-24 00:00:00,-1.1654291301965713e-10,-1.330021399011139e-16,876248.4055241962,876248.4055241962
887581.5772486456,2024-05-25 00:00:00,-1.1644815094769e-10,-1.3119712478559978e-16,887581.5772486455,887581.5772486455
