date,tvl,apy,apy_base,apy_reward
2024-10-04,4942450,4.04099,4.04099,0
2024-10-05,5018230,4.02419,4.02419,0
2024-10-06,5149846,3.99554,3.99554,0
2024-10-07,4603243,4.12895,4.12895,0
2024-10-08,4707458,4.10747,4.10747,0
2024-10-09,4576362,4.1449,4.1449,0
2024-10-10,3327600,4.99133,4.99133,0
2024-10-11,3355710,4.44982,4.44982,0
2024-10-12,3461728,4.42873,4.42873,0
2024-10-13,3426684,4.44157,4.44157,0
2024-10-14,3278489,6.69607,6.69607,0
2024-10-15,3497428,4.44563,4.44563,0
2024-10-16,3269381,7.05678,7.05678,0
2024-10-17,3505177,4.44378,4.44378,0
2024-10-18,3396484,5.74952,5.74952,0
2024-10-19,3527025,4.4464,4.4464,0
2024-10-20,3238373,7.89531,7.89531,0
2024-10-21,3532087,4.45226,4.45226,0
2024-10-22,3322223,6.76687,6.76687,0
2024-10-23,4107471,4.29673,4.29673,0
2024-10-24,3538983,4.44329,4.44329,0
2024-10-25,3523714,4.44487,4.44487,0
2024-10-26,3497974,4.44327,4.44327,0
2024-10-27,3511823,4.4379,4.4379,0
2024-10-28,3512027,4.44363,4.44363,0
2024-10-29,3450846,5.3363,5.3363,0
2024-10-30,3222839,8.55516,8.55516,0
2024-10-31,3436982,6.41098,6.41098,0
2024-11-01,4033070,4.34525,4.34525,0
2024-11-02,4112960,4.3202,4.3202,0
2024-11-03,4181538,4.30942,4.30942,0
2024-11-04,4398193,4.25976,4.25976,0
2024-11-05,4301231,4.26643,4.26643,0
2024-11-06,3516113,11.04069,11.04069,0
2024-11-07,5412635,4.17616,4.17616,0
2024-11-08,5629725,4.07902,4.07902,0
2024-11-09,3683125,7.13339,7.13339,0
2024-11-10,4714129,4.26158,4.26158,0
2024-11-11,3356755,13.4633,13.4633,0
2024-11-12,5711216,4.10745,4.10745,0
2024-11-13,3815709,7.75239,7.75239,0
2024-11-14,5575862,4.09338,4.09338,0
2024-11-15,4627109,4.31143,4.31143,0
2024-11-16,3891465,6.09217,6.09217,0
2024-11-17,3860267,6.3232,6.3232,0
2024-11-18,3568462,10.26892,10.26892,0
2024-11-19,3600295,9.84672,9.84672,0
2024-11-20,3518898,10.35967,10.35967,0
2024-11-21,3801971,7.22566,7.22566,0
2024-11-22,3585689,10.3636,10.3636,0
2024-11-23,4436837,4.40314,4.40314,0
2024-11-24,3608825,11.29535,11.29535,0
2024-11-25,3627729,11.54359,11.54359,0
2024-11-26,3544179,11.74298,11.74298,0
2024-11-27,4264990,4.44071,4.44071,0
2024-11-28,3998197,7.51155,7.51155,0
2024-11-29,3961814,8.88787,8.88787,0
2024-11-30,4103314,7.87936,7.87936,0
2024-12-01,3631566,12.57475,12.57475,0
2024-12-02,3631564,13.21534,13.21534,0
2024-12-03,3964612,9.78696,9.78696,0
2024-12-04,3945350,9.53538,9.53538,0
2024-12-05,3993968,8.93284,8.93284,0
2024-12-06,3897405,11.46015,11.46015,0
2024-12-07,3859467,12.20375,12.20375,0
2024-12-08,3841332,12.45385,12.45385,0
2024-12-09,3879819,11.60937,11.60937,0
2024-12-10,4094659,8.78604,8.78604,0
2024-12-11,3717573,12.61775,12.61775,0
2024-12-12,4000731,10.25927,10.25927,0
2024-12-13,4037772,9.792,9.792,0
2024-12-14,4017052,10.25373,10.25373,0
2024-12-15,3943500,10.99803,10.99803,0
2024-12-16,4536641,10.36518,10.36518,0
2024-12-17,4350519,12.13342,12.13342,0
2024-12-18,4194954,13.13297,13.13297,0
2024-12-19,4490797,10.53561,10.53561,0
2024-12-20,4955375,9.91224,9.91224,0
2024-12-21,5296098,9.73113,9.73113,0
2024-12-22,5985485,9.4475,9.4475,0
2024-12-23,5679233,9.61844,9.61844,0
2024-12-24,6299717,9.33683,9.33683,0
2024-12-25,6183630,9.3848,9.3848,0
2024-12-26,7043777,9.03978,9.03978,0
2024-12-27,7563704,8.85013,8.85013,0
2024-12-28,7966708,8.68955,8.68955,0
2024-12-29,7478201,8.85981,8.85981,0
2024-12-30,6897921,9.10696,9.10696,0
2024-12-31,7071590,9.04027,9.04027,0
2025-01-01,7832455,8.75766,8.75766,0
2025-01-02,7981551,8.71048,8.71048,0
2025-01-03,8426168,8.56822,8.56822,0
2025-01-04,8749435,8.51768,8.51768,0
2025-01-05,8912439,8.48375,8.48375,0
2025-01-06,8432853,8.66674,8.66674,0
2025-01-07,9053846,8.43313,8.43313,0
2025-01-08,9910361,8.14377,8.14377,0
2025-01-09,9714940,8.15641,8.15641,0
2025-01-10,10334462,7.94835,7.94835,0
2025-01-11,9791987,8.13048,8.13048,0
2025-01-12,9948785,8.06961,8.06961,0
2025-01-13,10313548,7.91325,7.91325,0
2025-01-14,10506331,7.55296,7.55296,0
2025-01-15,10515698,7.61149,7.61149,0
2025-01-16,10434432,7.66534,7.66534,0
2025-01-17,10021074,7.7795,7.7795,0
2025-01-18,9052555,8.10679,8.10679,0
2025-01-19,8343816,8.35045,8.35045,0
2025-01-20,6114076,9.16464,9.16464,0
2025-01-21,7018844,8.82434,8.82434,0
2025-01-22,8331016,8.37103,8.37103,0
2025-01-23,8601223,8.30224,8.30224,0
2025-01-24,9200960,8.11155,8.11155,0
2025-01-25,9509982,8.01716,8.01716,0
2025-01-26,10657312,7.67471,7.67471,0
2025-01-27,12477727,6.96432,6.96432,0
2025-01-28,12973481,6.83798,6.83798,0
2025-01-29,12728390,6.91354,6.91354,0
2025-01-30,12512158,7.10921,7.10921,0
2025-01-31,12840522,6.74047,6.74047,0
2025-02-01,13303905,6.62943,6.62943,0
2025-02-02,14462561,6.27984,6.27984,0
2025-02-03,14055925,6.1543,6.1543,0
2025-02-04,16315449,5.64847,5.64847,0
2025-02-05,15841004,5.74262,5.74262,0
2025-02-06,16746878,5.54744,5.54744,0
2025-02-07,17879587,5.26558,5.26558,0
2025-02-08,18154211,5.22324,5.22324,0
2025-02-09,17290270,5.387,5.387,0
2025-02-10,17380996,5.37388,5.37388,0
2025-02-11,16716641,4.55224,4.55224,0
2025-02-12,16482260,4.5937,4.5937,0
2025-02-13,17309964,4.46527,4.46527,0
2025-02-14,17355366,4.46884,4.46884,0
2025-02-15,17212560,4.49478,4.49478,0
2025-02-16,18350216,4.31922,4.31922,0
2025-02-17,18015307,4.37298,4.37298,0
2025-02-18,16495321,4.63667,4.63667,0
2025-02-19,15708350,4.76825,4.76825,0
2025-02-20,15742378,4.76212,4.76212,0
2025-02-21,16211204,4.64554,4.64554,0
2025-02-22,16684300,4.5245,4.5245,0
2025-02-23,15853210,4.67836,4.67836,0
2025-02-24,16100329,4.61103,4.61103,0
2025-02-25,15320457,4.06133,4.06133,0
2025-02-26,13473193,4.27434,4.27434,0
2025-02-27,12573887,4.4137,4.4137,0
2025-02-28,12953115,4.28704,4.28704,0
2025-03-01,13380468,4.1907,4.1907,0
2025-03-02,12529425,4.34715,4.34715,0
2025-03-03,12672892,4.28663,4.28663,0
2025-03-04,13276413,4.10715,4.10715,0
2025-03-05,13990376,3.98431,3.98431,0
2025-03-06,14110385,3.9758,3.9758,0
2025-03-07,13595085,4.06429,4.06429,0
2025-03-08,13851126,4.02213,4.02213,0
2025-03-09,14707706,3.80459,3.80459,0
2025-03-10,15978905,3.28091,3.28091,0
2025-03-11,15774603,3.29489,3.29489,0
2025-03-12,15592955,3.33363,3.33363,0
2025-03-13,17348573,3.07866,3.07866,0
2025-03-14,15412717,3.36107,3.36107,0
2025-03-15,15370534,3.37454,3.37454,0
2025-03-16,15610196,3.33747,3.33747,0
2025-03-17,16302631,3.2314,3.2314,0
2025-03-18,15987707,3.28905,3.28905,0
2025-03-19,15849256,3.31892,3.31892,0
2025-03-20,16081086,3.29075,3.29075,0
2025-03-21,15910973,3.32589,3.32589,0
2025-03-22,15613228,3.37203,3.37203,0
2025-03-23,14863754,3.48807,3.48807,0
2025-03-24,14710135,3.53186,3.53186,0
2025-03-25,14942086,3.49561,3.49561,0
2025-03-26,14919914,3.50552,3.50552,0
2025-03-27,14073637,3.65083,3.65083,0
2025-03-28,13629889,3.72249,3.72249,0
2025-03-29,14299387,3.58398,3.58398,0
2025-03-30,14289971,3.58326,3.58326,0
2025-03-31,17575247,3.09526,3.09526,0
2025-04-01,17582296,3.10624,3.10624,0
2025-04-02,17960437,3.06208,3.06208,0
2025-04-03,17183052,3.14306,3.14306,0
2025-04-04,17090791,3.16125,3.16125,0
2025-04-05,17036906,3.16427,3.16427,0
2025-04-06,18235989,2.91153,2.91153,0
2025-04-07,16744878,3.1488,3.1488,0
2025-04-08,17332759,2.86138,2.86138,0
2025-04-09,16884294,2.93593,2.93593,0
2025-04-10,17310114,2.86787,2.86787,0
2025-04-11,16832750,2.92811,2.92811,0
2025-04-12,15733461,3.09841,3.09841,0
2025-04-13,15693903,3.09225,3.09225,0
2025-04-14,14222530,3.33889,3.33889,0
2025-04-15,14406709,3.31486,3.31486,0
2025-04-16,15550455,3.12581,3.12581,0
2025-04-17,16996583,2.92204,2.92204,0
2025-04-18,16810422,2.94762,2.94762,0
2025-04-19,14899780,3.22945,3.22945,0
2025-04-20,14923453,3.22809,3.22809,0
2025-04-21,17637487,2.85896,2.85896,0
2025-04-22,17799495,2.84642,2.84642,0
2025-04-23,17575672,2.89799,2.89799,0
2025-04-24,17267972,2.93742,2.93742,0
2025-04-25,17145701,2.96113,2.96113,0
2025-04-26,16225945,3.10401,3.10401,0
2025-04-27,15576002,3.19394,3.19394,0
2025-04-28,15590417,3.19587,3.19587,0
2025-04-29,15677355,3.17992,3.17992,0
2025-04-30,16023787,3.13276,3.13276,0
2025-05-01,16037440,3.13584,3.13584,0
2025-05-02,16068890,3.14592,3.14592,0
2025-05-03,16568929,3.06278,3.06278,0
2025-05-04,16639968,3.05636,3.05636,0
2025-05-05,16340327,3.11388,3.11388,0
2025-05-06,15936587,3.17724,3.17724,0
2025-05-07,15894372,3.17948,3.17948,0
2025-05-08,16708529,3.08562,3.08562,0
2025-05-09,16002525,3.20057,3.20057,0
