date,tvl,apy,apy_base,apy_reward
2025-05-18,1263996,10.47695,8.37049,2.10645
2025-05-19,1830865,7.97516,5.83079,2.14436
2025-05-20,1132318,11.61798,9.37813,2.23986
2025-05-21,1401700,8.84005,6.62215,2.2179
2025-05-22,1285145,9.07276,6.75038,2.32238
2025-05-23,1237455,9.94448,7.77138,2.17309
2025-05-24,1340713,8.8633,6.68908,2.17423
2025-05-25,1450292,8.7341,6.57099,2.16311
2025-05-26,1387067,8.83728,6.64202,2.19526
2025-05-27,1389121,8.87266,6.64002,2.23264
2025-05-28,699012,21.55429,19.26613,2.28816
2025-05-29,2409456,7.75744,5.58598,2.17146
2025-05-30,1920230,8.16929,6.05105,2.11824
2025-05-31,2248253,7.80321,5.92136,1.88186
2025-06-01,1075505,13.78979,11.75461,2.03518
2025-06-02,1776883,8.23509,6.36239,1.8727
2025-06-03,3041914,7.03255,5.11483,1.91772
2025-06-04,1056806,15.06134,14.22693,0.8344
2025-06-05,1530207,7.33825,6.46729,0.87095
